Node1,Node2,Weight
0,1,0.4569
0,19,0.7359
0,18,0.4539
0,13,0.6433
0,11,0.6091
1,3,0.4697
1,10,1.0
1,17,0.7268
1,4,0.195
1,9,0.6373
1,22,0.4676
1,23,0.7705
1,24,0.4415
1,7,0.5771
2,3,0.701
2,4,0.7732
3,5,0.3599
3,10,0.5331
3,9,0.505
4,12,0.4693
4,5,0.9531
5,6,0.681
5,10,0.3478
6,7,0.7836
6,8,1.0
7,8,0.8065
7,13,0.2961
7,14,0.5032
7,16,0.8534
8,9,0.4585
8,10,0.6888
8,17,0.7549
10,11,0.4146
11,18,0.5881
12,13,0.0
12,14,0.3951
12,19,0.5495
13,15,0.3504
13,14,0.9265
14,16,0.314
15,16,0.512
15,17,0.6261
15,23,0.8883
16,17,0.3128
16,18,0.8326
16,25,0.602
18,19,0.4037
20,23,0.6924
20,21,0.6398
21,24,0.48
21,22,0.614
22,24,0.5229
24,25,0.6227
