Node1,Node2,Weight
0,1,0.512
0,29,0.6261
0,2,0.8883
0,28,0.3128
1,2,0.8326
1,3,0.602
1,29,0.4037
2,4,0.6924
2,16,0.6398
2,8,0.48
3,4,0.614
3,5,0.5229
4,5,0.6227
4,6,0.7324
5,6,0.9172
5,7,0.3524
5,16,1.0
6,7,0.2096
6,8,0.5696
6,17,0.7177
7,28,0.6562
7,27,0.4755
8,11,0.5584
9,10,0.5014
9,11,0.4821
9,12,0.7699
10,11,0.6714
10,12,0.4614
10,14,0.7799
11,12,0.6615
11,13,0.7626
12,14,0.7259
12,21,0.4342
13,14,0.488
13,15,0.7495
14,16,0.7221
15,16,0.5958
15,17,0.6235
16,18,0.8555
17,18,0.4817
18,19,0.7094
18,20,0.5596
19,20,0.5565
19,21,0.8198
19,27,0.7651
20,21,0.7627
20,22,0.8611
21,23,0.6042
22,23,0.7364
22,24,0.5379
23,24,0.6648
23,25,0.574
24,28,0.6194
24,25,0.719
25,26,0.4364
25,27,1.0
26,27,0.3988
26,28,0.3572
27,28,0.8316
28,29,0.7583
