Node1,Node2,Weight Before,Weight After,Change
0,1,0.4306,0.5026,+0.0720
0,2,0.5107,0.4539,-0.0568
0,7,0.0000,0.4697,+0.4697
0,18,0.7713,0.6433,-0.1280
0,19,0.2970,0.7359,+0.4389
0,20,0.0000,0.6091,+0.6091
1,2,0.6428,1.0000,+0.3572
1,4,0.6346,0.1950,-0.4397
1,19,0.3509,0.7268,+0.3759
1,20,0.0000,0.6373,+0.6373
2,3,0.6771,0.4676,-0.2094
2,8,0.6307,0.4415,-0.1892
2,11,0.4232,0.7705,+0.3473
2,20,0.0000,0.6348,+0.6348
3,4,0.6116,0.7010,+0.0894
3,5,0.3714,0.7732,+0.4017
4,5,0.6716,0.3599,-0.3116
4,6,0.7122,0.5331,-0.1791
5,8,0.3245,0.9531,+0.6286
5,9,0.8166,0.5050,-0.3116
5,12,0.8108,0.4693,-0.3414
5,16,0.4124,0.6810,+0.2686
6,8,0.7030,0.3478,-0.3552
6,14,0.7028,0.7836,+0.0808
6,15,0.7030,1.0000,+0.2970
7,8,1.0000,0.8065,-0.1935
7,11,0.7142,0.2961,-0.4181
7,20,0.0000,0.5535,+0.5535
8,9,0.8271,0.8534,+0.0263
9,10,0.7908,0.4585,-0.3323
9,11,0.7303,0.6888,-0.0415
10,11,0.5369,0.7549,+0.2180
10,12,0.7518,0.4146,-0.3372
11,13,0.4454,0.5881,+0.1427
11,14,0.5526,0.0000,-0.5526
12,13,0.5029,0.3951,-0.1078
13,14,0.6164,0.5495,-0.0669
13,15,1.0000,0.3504,-0.6496
14,15,0.2265,0.9265,+0.6999
14,16,0.7373,0.3140,-0.4233
15,17,0.2775,0.5120,+0.2345
16,17,0.5056,0.6261,+0.1205
17,18,0.8178,0.8883,+0.0705
17,19,0.6129,0.3128,-0.3000
18,19,0.3845,0.8326,+0.4482
