Node1,Node2,Weight
0,1,0.4306
0,19,0.297
0,2,0.5107
0,18,0.7713
1,2,0.6428
1,19,0.3509
1,4,0.6346
2,3,0.6771
2,11,0.4232
2,8,0.6307
3,4,0.6116
3,5,0.3714
4,5,0.6716
4,6,0.7122
5,9,0.8166
5,12,0.8108
5,8,0.3245
5,16,0.4124
6,8,0.703
6,14,0.7028
6,15,0.703
7,8,1.0
7,11,0.7142
8,9,0.8271
9,10,0.7908
9,11,0.7303
10,11,0.5369
10,12,0.7518
11,13,0.4454
11,14,0.5526
12,13,0.5029
13,14,0.6164
13,15,1.0
14,15,0.2265
14,16,0.7373
15,17,0.2775
16,17,0.5056
17,18,0.8178
17,19,0.6129
18,19,0.3845
