Node1,Node2,Weight
0,29,0.6152
0,2,0.4646
0,12,0.795
0,10,0.5706
1,2,0.4349
1,3,0.5357
1,29,0.6826
2,3,0.4873
2,4,0.4356
2,14,0.6487
3,4,0.649
3,5,0.4986
3,15,0.5058
4,5,0.6464
4,6,0.3104
5,6,0.3185
5,7,0.4563
6,7,0.5573
6,8,0.6622
7,8,0.9846
7,9,0.7715
8,9,0.568
8,10,0.5962
9,10,0.3995
9,11,0.5963
10,19,0.5423
10,26,0.6645
11,14,0.4346
11,20,0.7039
12,14,0.9065
12,19,0.5782
13,14,0.6803
13,15,0.738
13,27,0.5198
14,20,0.6448
15,21,0.6025
15,24,0.6195
16,17,0.4454
16,18,0.6049
16,25,0.6996
17,18,0.8902
17,19,0.7919
17,28,1.0
18,20,0.4465
18,25,0.7745
19,21,0.6367
20,21,1.0
20,22,0.4383
21,22,0.4321
21,23,0.4801
22,23,0.1752
22,24,0.4948
23,24,0.4482
23,28,0.6301
24,25,0.6684
25,27,0.9752
26,27,0.7901
26,28,0.4846
27,28,0.4203
28,29,0.6984
